MODUL
MSR310220

CHANNEL
TIME;ACC x;ACC y;ACC z;BAT

UNIT
;g;g;g;V

DATA
19.10.2015 10:00:00.049;-0.516;-0.016;0.869;3.85
19.10.2015 10:00:01.049;-0.516;-0.016;0.869;
19.10.2015 10:00:02.049;-0.516;-0.016;0.902;
19.10.2015 10:00:03.049;-0.516;-0.016;0.902;
19.10.2015 10:00:04.049;-0.516;-0.016;0.869;
19.10.2015 10:00:05.049;-0.516;-0.016;0.869;
19.10.2015 10:00:06.049;-0.516;-0.016;0.902;
19.10.2015 10:00:07.049;-0.484;-0.016;0.902;
19.10.2015 10:00:08.049;-0.516;-0.016;0.869;
19.10.2015 10:00:09.049;-0.516;-0.016;0.902;
19.10.2015 10:00:10.049;-0.516;-0.016;0.869;
19.10.2015 10:00:11.049;-0.516;-0.016;0.902;
19.10.2015 10:00:12.049;-0.516;-0.016;0.902;
19.10.2015 10:00:13.049;-0.516;-0.016;0.869;
19.10.2015 10:00:14.049;-0.516;-0.016;0.902;
19.10.2015 10:00:15.049;-0.516;-0.016;0.902;
19.10.2015 10:00:16.049;-0.516;-0.016;0.902;
19.10.2015 10:00:17.049;-0.516;-0.016;0.902;
19.10.2015 10:00:18.049;-0.516;-0.016;0.902;
19.10.2015 10:00:19.049;-0.516;-0.016;0.902;
19.10.2015 10:00:20.049;-0.516;-0.016;0.902;
19.10.2015 10:00:21.049;-0.516;-0.016;0.902;
19.10.2015 10:00:22.049;-0.516;-0.016;0.902;
19.10.2015 10:00:23.049;-0.516;-0.016;0.902;
19.10.2015 10:00:24.049;-0.516;-0.016;0.869;
19.10.2015 10:00:25.049;-0.516;-0.016;0.902;
19.10.2015 10:00:26.049;-0.516;-0.016;0.902;
19.10.2015 10:00:27.049;-0.516;-0.016;0.869;
19.10.2015 10:00:28.049;-0.516;-0.016;0.902;
19.10.2015 10:00:29.049;-0.516;-0.016;0.902;
19.10.2015 10:00:30.049;-0.516;-0.016;0.869;
19.10.2015 10:00:31.049;-0.548;-0.016;0.902;
19.10.2015 10:00:32.049;-0.516;-0.016;0.934;
19.10.2015 10:00:33.049;-0.516;-0.016;0.869;
19.10.2015 10:00:34.049;-0.516;-0.016;0.902;
19.10.2015 10:00:35.049;-0.516;-0.016;0.902;
19.10.2015 10:00:36.049;-0.516;-0.016;0.869;
19.10.2015 10:00:37.049;-0.516;-0.048;0.934;
19.10.2015 10:00:38.049;-0.516;-0.016;0.902;
19.10.2015 10:00:39.049;-0.516;-0.016;0.902;
19.10.2015 10:00:40.049;-0.516;-0.048;0.902;
19.10.2015 10:00:41.049;-0.516;-0.016;0.902;
19.10.2015 10:00:42.049;-0.516;-0.016;0.869;
19.10.2015 10:00:43.049;-0.516;-0.016;0.902;
19.10.2015 10:00:44.049;-0.516;-0.016;0.902;
19.10.2015 10:00:45.049;-0.516;-0.016;0.869;
19.10.2015 10:00:46.049;-0.516;-0.016;0.869;
19.10.2015 10:00:47.049;-0.516;-0.016;0.902;
19.10.2015 10:00:48.049;-0.516;-0.016;0.869;
19.10.2015 10:00:49.049;-0.516;-0.016;0.902;
19.10.2015 10:00:50.049;-0.516;-0.016;0.902;
19.10.2015 10:00:51.049;-0.548;-0.016;0.902;
19.10.2015 10:00:52.049;-0.516;-0.016;0.902;
19.10.2015 10:00:53.049;-0.516;-0.016;0.902;
19.10.2015 10:00:54.049;-0.516;-0.016;0.902;
19.10.2015 10:00:55.049;-0.516;-0.048;0.902;
19.10.2015 10:00:56.049;-0.516;-0.016;0.902;
19.10.2015 10:00:57.049;-0.516;-0.016;0.869;
19.10.2015 10:00:58.049;-0.516;-0.016;0.902;
19.10.2015 10:00:59.049;-0.516;-0.016;0.902;
19.10.2015 10:01:00.049;-0.516;-0.016;0.902;
19.10.2015 10:01:01.049;-0.516;-0.016;0.869;
19.10.2015 10:01:02.049;-0.516;-0.016;0.869;
19.10.2015 10:01:03.049;-0.516;-0.016;0.902;
19.10.2015 10:01:04.049;-0.516;-0.016;0.869;
19.10.2015 10:01:05.049;-0.516;-0.016;0.902;
19.10.2015 10:01:06.049;-0.484;-0.016;0.869;
19.10.2015 10:01:07.049;-0.516;-0.016;0.902;
19.10.2015 10:01:08.049;-0.516;-0.016;0.902;
19.10.2015 10:01:09.049;-0.516;-0.016;0.902;
19.10.2015 10:01:10.049;-0.484;-0.016;0.902;
19.10.2015 10:01:11.049;-0.516;-0.016;0.869;
19.10.2015 10:01:12.049;-0.516;-0.016;0.869;
19.10.2015 10:01:13.049;-0.516;-0.016;0.902;
19.10.2015 10:01:14.049;-0.516;-0.016;0.902;
19.10.2015 10:01:15.049;-0.516;-0.016;0.934;
19.10.2015 10:01:16.049;-0.516;-0.016;0.902;
19.10.2015 10:01:17.049;-0.516;-0.016;0.902;
19.10.2015 10:01:18.049;-0.516;-0.016;0.902;
19.10.2015 10:01:19.049;-0.516;-0.016;0.902;
19.10.2015 10:01:20.049;-0.516;-0.016;0.869;
19.10.2015 10:01:21.049;-0.516;-0.016;0.869;
19.10.2015 10:01:22.049;-0.484;-0.016;0.902;
19.10.2015 10:01:23.049;-0.516;-0.016;0.902;
19.10.2015 10:01:24.049;-0.516;-0.016;0.902;
19.10.2015 10:01:25.049;-0.516;-0.016;0.869;
19.10.2015 10:01:26.049;-0.516;-0.016;0.902;
19.10.2015 10:01:27.049;-0.516;-0.016;0.902;
19.10.2015 10:01:28.049;-0.516;-0.016;0.869;
19.10.2015 10:01:29.049;-0.516;-0.016;0.902;
19.10.2015 10:01:30.049;-0.516;-0.016;0.869;
19.10.2015 10:01:31.049;-0.516;-0.016;0.902;
19.10.2015 10:01:32.049;-0.516;-0.016;0.902;
19.10.2015 10:01:33.049;-0.516;-0.016;0.902;
19.10.2015 10:01:34.049;-0.516;-0.016;0.902;
19.10.2015 10:01:35.049;-0.516;-0.016;0.869;
19.10.2015 10:01:36.049;-0.516;-0.016;0.869;
19.10.2015 10:01:37.049;-0.516;-0.016;0.869;
19.10.2015 10:01:38.049;-0.516;-0.016;0.902;
19.10.2015 10:01:39.049;-0.516;-0.016;0.902;
19.10.2015 10:01:40.049;-0.516;-0.016;0.869;
19.10.2015 10:01:41.049;-0.516;-0.016;0.902;
19.10.2015 10:01:42.049;-0.516;-0.016;0.902;
19.10.2015 10:01:43.049;-0.516;-0.016;0.902;
19.10.2015 10:01:44.049;-0.516;-0.016;0.902;
19.10.2015 10:01:45.049;-0.516;-0.048;0.869;
19.10.2015 10:01:46.049;-0.516;-0.016;0.869;
19.10.2015 10:01:47.049;-0.516;-0.016;0.869;
19.10.2015 10:01:48.049;-0.516;-0.016;0.902;
19.10.2015 10:01:49.049;-0.516;-0.016;0.902;
19.10.2015 10:01:50.049;-0.516;-0.016;0.902;
19.10.2015 10:01:51.049;-0.516;-0.016;0.902;
